,id,movie,link,date,dist,gross_1995,gross_1996,gross_1997,gross_1998,gross_1999,gross_2000,gross_2001,gross_2002,gross_2003,gross_2004,gross_2005,gross_2006,gross_2007,gross_2008,gross_2009,gross_2010,gross_2011,gross_2012,gross_2013,gross_2014,gross_2015,gross_2016,gross_2017,gross_2018,gross_2019,gross_2020,tickets_1995,tickets_1996,tickets_1997,tickets_1998,tickets_1999,tickets_2000,tickets_2001,tickets_2002,tickets_2003,tickets_2004,tickets_2005,tickets_2006,tickets_2007,tickets_2008,tickets_2009,tickets_2010,tickets_2011,tickets_2012,tickets_2013,tickets_2014,tickets_2015,tickets_2016,tickets_2017,tickets_2018,tickets_2019,tickets_2020
3501,3abfc091d125a9995fcc248c410e0498,Touchez Pas au Grisbi,/movie/Touchez-Pas-au-Grisbi-(France),2003/09/05,,,,,,,,,,104048,,,,,,,,,,,,,,,,,,,,,,,,,,17255,,,,,,,,,,,,,,,,,
3466,6ce044ca30e87408a5feb5fdc2aae4d4,Taking Sides,/movie/Taking-Sides,2003/09/05,New Yorker,,,,,,,,,175174,13778,,,,,,,,,,,,,,,,,,,,,,,,,29050,2218,,,,,,,,,,,,,,,,
3508,b99682c299822a7c782b6e4395bbef9a,Where's the Party Yaar?,/movie/Wheres-the-Party-Yaar,2003/09/05,,,,,,,,,,85739,,,,,,,,,,,,,,,,,,,,,,,,,,14218,,,,,,,,,,,,,,,,,
3313,bd5d2acf106870eee9934da013729aeb,The Order,/movie/Order-The,2003/09/05,20th Century Fox,,,,,,,,,7659747,,,,,,,,,,,,,,,,,,,,,,,,,,1270273,,,,,,,,,,,,,,,,,
3539,0877e4746ab2bbeb9a6f7372d5ebbdaf,Carnage,/movie/Carnage-(2003),2003/09/05,WellSpring,,,,,,,,,52703,7455,,,,,,,,,,,,,,,,,,,,,,,,,8740,1200,,,,,,,,,,,,,,,,
3612,d97470fbf37f6b57e5b2552a342965b3,Zero Day,/movie/Zero-Day,2003/09/05,Avatar,,,,,,,,,7221,,,,,,,,,,,,,,,,,,,,,,,,,,1197,,,,,,,,,,,,,,,,,
3455,4336b67fc6dec3c3dab1e74e4cbdc4ba,Kuch Naa Kaho,/movie/Kuch-Naa-Kaho,2003/09/05,,,,,,,,,,224831,,,,,,,,,,,,,,,,,,,,,,,,,,37285,,,,,,,,,,,,,,,,,
3629,1369730075b17fdd77bdd3502fd61045,Home Room,/movie/Home-Room,2003/09/05,,,,,,,,,,3467,,,,,,,,,,,,,,,,,,,,,,,,,,574,,,,,,,,,,,,,,,,,
3277,e911dc602faf3ef9da965f1c55d821ef,Dickie Roberts: Former Chil…,/movie/Dickie-Roberts-Former-Child-Star,2003/09/05,Paramount Pictures,,,,,,,,,22734486,,,,,,,,,,,,,,,,,,,,,,,,,,3770229,,,,,,,,,,,,,,,,,
3385,b454d13179d12e5bf9cf0c06d5a63390,Gaz Bar Blues,/movie/Gaz-Bar-Blues,2003/09/05,Odeon Films,,,,,,,,,884664,,,,,,,,,,,,,,,,,,,,,,,,,,146710,,,,,,,,,,,,,,,,,
3434,b05412c829d1a1368e7f875021bc95ac,The Animation Show,/movie/Animation-Show-The,2003/09/05,The Animation Sho…,,,,,,,,,306362,36709,,,,,,,,,,,,,,,,,,,,,,,,,50806,5911,,,,,,,,,,,,,,,,
3263,149a258fcfe174d6a61ae8406716a41b,Lost in Translation,/movie/Lost-in-Translation,2003/09/12,Focus Features,,,,,,,,,31586561,12998892,,,,,,,,,,,,,,,,,,,,,,,,,5238235,2093219,,,,,,,,,,,,,,,,
3549,3e950c4174f4990b1498c05d9badcaba,Millenium Actress,/movie/Sennen-joyu-(Japan),2003/09/12,DreamWorks/Go Fish,,,,,,,,,37285,,,,,,,,,,,,,,,,,,,,,,,,,,6183,,,,,,,,,,,,,,,,,
3490,ff2c14ac6d3e0d127406ebcf83110810,No Good Deed,/movie/No-Good-Deed,2003/09/12,Mac Releasing,,,,,,,,,129042,,,,,,,,,,,,,,,,,,,,,,,,,,21400,,,,,,,,,,,,,,,,,
3225,628454b9de0d0d748c66258c714814f7,Once Upon a Time in Mexico,/movie/Once-Upon-a-Time-in-Mexico,2003/09/12,Sony Pictures,,,,,,,,,56330657,,,,,,,,,,,,,,,,,,,,,,,,,,9341734,,,,,,,,,,,,,,,,,
3480,67f7770e6ecfdcfa7f52e1b41920e70b,Hangman's Curse,/movie/Hangmans-Curse,2003/09/12,,,,,,,,,,152078,,,,,,,,,,,,,,,,,,,,,,,,,,25220,,,,,,,,,,,,,,,,,
3251,d5308c04a1cb03f2b917b794b354bafe,Matchstick Men,/movie/Matchstick-Men,2003/09/12,Warner Bros.,,,,,,,,,36873198,,,,,,,,,,,,,,,,,,,,,,,,,,6114958,,,,,,,,,,,,,,,,,
3281,983368e7992b7c3f070cbf3627416a63,Cabin Fever,/movie/Cabin-Fever,2003/09/12,Lionsgate,,,,,,,,,21158188,,,,,,,,,,,,,,,,,,,,,,,,,,3508820,,,,,,,,,,,,,,,,,
3516,8fb7475cdc91a5efbb8b7a61da954f2a,Dummy,/movie/Dummy,2003/09/12,Artisan,,,,,,,,,71305,,,,,,,,,,,,,,,,,,,,,,,,,,11825,,,,,,,,,,,,,,,,,
3374,5de947aa95c7641050341969f02812c0,"The Book of Mormon Movie, V…",/movie/Book-of-Mormon-Movie-Volume-1-The-Journey-The,2003/09/12,Distributor Unknown,,,,,,,,,1124502,536363,,,,,,,,,,,,,,,,,,,,,,,,,186484,86370,,,,,,,,,,,,,,,,
3632,d12f898da8eb07c4f34a983839a6313a,Warrior of Light,/movie/Warrior-of-Light,2003/09/12,,,,,,,,,,2712,,,,,,,,,,,,,,,,,,,,,,,,,,449,,,,,,,,,,,,,,,,,
3571,bfda6ef5ef39ec3367c7dfcec0162949,Luster,/movie/Luster,2003/09/12,,,,,,,,,,24137,,,,,,,,,,,,,,,,,,,,,,,,,,4002,,,,,,,,,,,,,,,,,
3510,31ae28c0c3ca428385cf4e06fe7f2470,So Close,/movie/So-Close,2003/09/12,Sony Pictures,,,,,,,,,75705,,,,,,,,,,,,,,,,,,,,,,,,,,12554,,,,,,,,,,,,,,,,,
3399,c556f5c34d796f6d6e6c346478edf7fa,To Be and To Have,/movie/To-Be-and-To-Have,2003/09/17,New Yorker,,,,,,,,,545153,7065318,,,,,,,,,,,,,,,,,,,,,,,,,90406,1137732,,,,,,,,,,,,,,,,
3394,53bbacc2a066f65166d6a27aea4db910,Pere et Fils,/movie/Pere-et-Fils,2003/09/19,Odeon Films,,,,,,,,,634968,,,,,,,,,,,,,,,,,,,,,,,,,,105301,,,,,,,,,,,,,,,,,
3471,b916c1ff1596bc127fd0f8ba9d58215b,Red Betsy,/movie/Red-Betsy,2003/09/19,,,,,,,,,,164520,,,,,,,,,,,,,,,,,,,,,,,,,,27283,,,,,,,,,,,,,,,,,
3512,de775d07268868d78414ebc71b92ce0a,In This World,/movie/In-This-World,2003/09/19,,,,,,,,,,74162,,,,,,,,,,,,,,,,,,,,,,,,,,12298,,,,,,,,,,,,,,,,,
3513,b1cfce43670b633ef828619277748b5f,Emerald Cowboy,/movie/Emerald-Cowboy,2003/09/19,Indican Pictures,,,,,,,,,72928,28048,,,,,,,,,,,,,,,,,,,,,,,,,12094,4516,,,,,,,,,,,,,,,,
3280,6b91106709f0151494098e2dc52f49c5,Cold Creek Manor,/movie/Cold-Creek-Manor,2003/09/19,Walt Disney,,,,,,,,,21384035,,,,,,,,,,,,,,,,,,,,,,,,,,3546274,,,,,,,,,,,,,,,,,
3454,7800d07d5a5fd81fa20ebecc4b283195,Demonlover,/movie/Demonlover,2003/09/19,Palm Pictures,,,,,,,,,227365,4391,,,,,,,,,,,,,,,,,,,,,,,,,37705,707,,,,,,,,,,,,,,,,
3244,010e5626555342e17f88bcd4bfe31d1c,Secondhand Lions,/movie/Secondhand-Lions,2003/09/19,New Line,,,,,,,,,42070939,,,,,,,,,,,,,,,,,,,,,,,,,,6976938,,,,,,,,,,,,,,,,,
3345,443fe004d8d7843dc2e3b51372e899e0,Anything Else,/movie/Anything-Else,2003/09/19,Dreamworks SKG,,,,,,,,,3203044,,,,,,,,,,,,,,,,,,,,,,,,,,531184,,,,,,,,,,,,,,,,,
3407,854f08445caf4f85fbfab2c894c75d55,Casa de los Babys,/movie/Casa-de-los-Babys,2003/09/19,IFC Films,,,,,,,,,475940,,,,,,,,,,,,,,,,,,,,,,,,,,78928,,,,,,,,,,,,,,,,,
3230,1e8ceda84429a13eb0a8a4d955d9a6c0,Underworld,/movie/Underworld-(2003),2003/09/19,Sony Pictures,,,,,,,,,51892664,78026,,,,,,,,,,,,,,,,,,,,,,,,,8605748,12564,,,,,,,,,,,,,,,,
3371,d1ab99c33340cb3b5f41180331d44cb1,Bubba Ho-Tep,/movie/Bubba-Ho-Tep,2003/09/19,Vitagraph Films,,,,,,,,,1209318,29865,,,,,,,,,,,,,,,,,,,,,,,,,200550,4809,,,,,,,,,,,,,,,,
3422,9b4d3ac34fedec42a6a0c51ab1f6e543,Tibet - Cry of the Snow Lion,/movie/Tibet-Cry-of-the-Snow-Lion,2003/09/19,Artistic License,,,,,,,,,375249,202592,,,,,,,,,,,,,,,,,,,,,,,,,62230,32623,,,,,,,,,,,,,,,,
3266,96948d3b15ac4ce1abb4bdfcaf269210,The Fighting Temptations,/movie/Fighting-Temptations-The,2003/09/19,Paramount Pictures,,,,,,,,,30238577,,,,,,,,,,,,,,,,,,,,,,,,,,5014689,,,,,,,,,,,,,,,,,
3545,784ad5ca885ceded077d212c28c0c813,National Lampoon's Dorm Daze,/movie/National-Lampoons-Dorm-Daze,2003/09/24,,,,,,,,,,47153,,,,,,,,,,,,,,,,,,,,,,,,,,7819,,,,,,,,,,,,,,,,,
3461,e381f2d96765b503f5dd95ec60db849d,Yossi & Jagger,/movie/Yossi-and-Jagger,2003/09/24,,,,,,,,,,191273,75378,,,,,,,,,,,,,,,,,,,,,,,,,31720,12138,,,,,,,,,,,,,,,,
3347,4b6ed029132179843b05f71e8ed63548,The Gospel of John,/movie/Gospel-of-John-The,2003/09/26,ThinkFilm,,,,,,,,,3095971,972116,,,,,,,,,,,,,,,,,,,,,,,,,513428,156540,,,,,,,,,,,,,,,,
3242,2b49cb00080aa7e4eb44a8a95e6a75b0,Under the Tuscan Sun,/movie/Under-the-Tuscan-Sun,2003/09/26,Walt Disney,,,,,,,,,43323006,278502,,,,,,,,,,,,,,,,,,,,,,,,,7184578,44847,,,,,,,,,,,,,,,,
3597,a12f114d3a35c9defc34c0dc71fd6d06,Camera Obscura,/movie/Camera-Obscura,2003/09/26,,,,,,,,,,11384,,,,,,,,,,,,,,,,,,,,,,,,,,1887,,,,,,,,,,,,,,,,,
3536,70c7654efc469552cda2901afc4aa9d4,Kart Racer,/movie/Kart-Racer,2003/09/26,,,,,,,,,,56146,,,,,,,,,,,,,,,,,,,,,,,,,,9311,,,,,,,,,,,,,,,,,
3322,26a53d3ba6b62f005300732de903307e,Luther,/movie/Luther,2003/09/26,RS Entertainment,,,,,,,,,5781086,,,,,,,,,,,,,,,,,,,,,,,,,,958720,,,,,,,,,,,,,,,,,
3415,c1a1a617052e5fa326dab39110b01b0e,My Life Without Me,/movie/My-Life-Without-Me,2003/09/26,Sony Pictures,,,,,,,,,432360,,,,,,,,,,,,,,,,,,,,,,,,,,71701,,,,,,,,,,,,,,,,,
3304,68fb20d0e977ba8e653bd58875fb5adf,Duplex,/movie/Duplex,2003/09/26,Miramax,,,,,,,,,9652000,,,,,,,,,,,,,,,,,,,,,,,,,,1600663,,,,,,,,,,,,,,,,,
3235,01713de3419eaf4f07e5c4889000bead,The Rundown,/movie/Rundown-The,2003/09/26,Universal,,,,,,,,,47641743,,,,,,,,,,,,,,,,,,,,,,,,,,7900786,,,,,,,,,,,,,,,,,
3532,b11892fcb96abb58eade33b926bb20e1,Prey for Rock & Roll,/movie/Prey-for-Rock-and-Roll,2003/09/26,,,,,,,,,,58040,,,,,,,,,,,,,,,,,,,,,,,,,,9625,,,,,,,,,,,,,,,,,
3453,905990555515d4aa8f31c3d11cb9e95a,Foolproof,/movie/Foolproof,2003/10/03,,,,,,,,,,230312,,,,,,,,,,,,,,,,,,,,,,,,,,38194,,,,,,,,,,,,,,,,,
3608,a64699db19b5066894a54fdc2d8bdd9b,The Work and the Story,/movie/Work-and-the-Story-The,2003/10/03,Off-Hollywood Dis…,,,,,,,,,8211,7926,,,,,,,,,,,,,,,,,,,,,,,,,1361,1276,,,,,,,,,,,,,,,,
3333,8e01d1926a12018ba7e79dcd0e2dfba0,The Station Agent,/movie/Station-Agent-The,2003/10/03,Miramax,,,,,,,,,4703793,1097765,,,,,,,,,,,,,,,,,,,,,,,,,780065,176773,,,,,,,,,,,,,,,,
3383,517957ea61f62d7e0f69eb6744a8cc6c,Baghban,/movie/Baghban,2003/10/03,Eros Entertainment,,,,,,,,,967555,,,,,,,,,,,,,,,,,,,,,,,,,,160456,,,,,,,,,,,,,,,,,
3517,c7e9fe4975e3eb57e22951f200313342,Concert for George,/movie/Concert-for-George,2003/10/03,,,,,,,,,,70000,,,,,,,,,,,,,,,,,,,,,,,,,,11608,,,,,,,,,,,,,,,,,
3245,0e7fdd99bc71197a0645a07cef8fecba,Out of Time,/movie/Out-of-Time,2003/10/03,MGM,,,,,,,,,41067004,16104,,,,,,,,,,,,,,,,,,,,,,,,,6810448,2593,,,,,,,,,,,,,,,,
3357,706195d56b4c7f841b3fb995d2923b87,Sur Le Seuil,/movie/Sur-Le-Seuil,2003/10/03,Alliance Films,,,,,,,,,2013052,,,,,,,,,,,,,,,,,,,,,,,,,,333839,,,,,,,,,,,,,,,,,
3377,4e827d113600ec31fe85704d67061466,Wonderland,/movie/Wonderland-(2003),2003/10/03,Lionsgate,,,,,,,,,1060512,,,,,,,,,,,,,,,,,,,,,,,,,,175872,,,,,,,,,,,,,,,,,
3482,6f9f205c048709dfa317a28e4dc05901,Girls Will Be Girls,/movie/Girls-Will-Be-Girls,2003/10/03,IFC Films,,,,,,,,,147235,,,,,,,,,,,,,,,,,,,,,,,,,,24417,,,,,,,,,,,,,,,,,
3537,a85d72beb4af55a9f7d58fc1bb57341e,The Event,/movie/Event-The,2003/10/03,ThinkFilm,,,,,,,,,54288,,,,,,,,,,,,,,,,,,,,,,,,,,9002,,,,,,,,,,,,,,,,,
3212,41f8a54ab652dc6024d5fc23733c8ec3,School of Rock,/movie/School-of-Rock,2003/10/03,Paramount Pictures,,,,,,,,,80232030,1029147,,,,,,,,,,,,,,,,,,,,,,,,,13305477,165724,,,,,,,,,,,,,,,,
3469,1c42e9981aeae71118c6c6f3fe594dbc,Bus 174,/movie/Onibus-174,2003/10/08,ThinkFilm,,,,,,,,,167340,48818,,,,,,,,,,,,,,,,,,,,,,,,,27751,7861,,,,,,,,,,,,,,,,
3227,a0ebe384e0bdb296aca2c3de8439b7e3,Mystic River,/movie/Mystic-River,2003/10/08,Warner Bros.,,,,,,,,,54300385,35834806,,,,,,,,,,,,,,,,,,,,,,,,,9005038,5770500,,,,,,,,,,,,,,,,
3464,ca7457d730bb1ed0e932a14664cb5d03,The Flower of Evil,/movie/Flower-of-Evil-The,2003/10/10,,,,,,,,,,180049,1749,,,,,,,,,,,,,,,,,,,,,,,,,29858,281,,,,,,,,,,,,,,,,
3255,974cc4a568c70ecebda04d5f7065721c,Intolerable Cruelty,/movie/Intolerable-Cruelty,2003/10/10,Universal,,,,,,,,,35296248,31380,,,,,,,,,,,,,,,,,,,,,,,,,5853440,5053,,,,,,,,,,,,,,,,
3524,bd025bb00119f6a4c11ce061c817a37c,Dopamine,/movie/Dopamine,2003/10/10,,,,,,,,,,64950,,,,,,,,,,,,,,,,,,,,,,,,,,10771,,,,,,,,,,,,,,,,,
3302,e1643ffb5be7af035952a9d608e65f97,House of the Dead,/movie/House-of-the-Dead,2003/10/10,Artisan,,,,,,,,,10199354,,,,,,,,,,,,,,,,,,,,,,,,,,1691435,,,,,,,,,,,,,,,,,
3249,382343d64e4ee6024569c6f9cd7a204e,Good Boy!,/movie/Good-Boy,2003/10/10,MGM,,,,,,,,,37666266,1480,,,,,,,,,,,,,,,,,,,,,,,,,6246478,238,,,,,,,,,,,,,,,,
3566,26972df3f633e583395bf655d675cf72,Porn Theater,/movie/Porn-Theater,2003/10/10,,,,,,,,,,27325,4156,,,,,,,,,,,,,,,,,,,,,,,,,4531,669,,,,,,,,,,,,,,,,
3540,4d7536b4be585e095ab8546d0f9f38e6,Small Voices,/movie/Small-Voices,2003/10/10,,,,,,,,,,51516,14719,,,,,,,,,,,,,,,,,,,,,,,,,8543,2370,,,,,,,,,,,,,,,,
3215,7fc1e7b98c98b560a0719fa512dcb99c,Kill Bill: Volume 1,/movie/Kill-Bill-Volume-1,2003/10/10,Miramax,,,,,,,,,69655060,443078,,,,,,,,,,,,,,,,,,,,,,,,,11551419,71349,,,,,,,,,,,,,,,,
3211,7e5c3a97bcbed175fc81e324758272f3,The Texas Chainsaw Massacre,/movie/Texas-Chainsaw-Massacre-The-(2003),2003/10/17,New Line,,,,,,,,,80469745,101910,,,,,,,,,,,,,,,,,,,,,,,,,13344899,16410,,,,,,,,,,,,,,,,
3590,f4d8513996ca0d435acb8e72169a5a66,Khachaturian,/movie/Khachaturian,2003/10/17,,,,,,,,,,14250,,,,,,,,,,,,,,,,,,,,,,,,,,2363,,,,,,,,,,,,,,,,,
3350,93c4fd700fb67a034e88fc83607af41a,Pieces of April,/movie/Pieces-of-April,2003/10/17,MGM,,,,,,,,,2406672,121992,,,,,,,,,,,,,,,,,,,,,,,,,399116,19644,,,,,,,,,,,,,,,,
3233,f287c2ae848b2a25f7027dd1a8381711,Runaway Jury,/movie/Runaway-Jury,2003/10/17,20th Century Fox,,,,,,,,,49022597,418399,,,,,,,,,,,,,,,,,,,,,,,,,8129783,67375,,,,,,,,,,,,,,,,
3365,962f2b333b9662a6dabcb2c302cc394d,Veronica Guerin,/movie/Veronica-Guerin,2003/10/17,Walt Disney,,,,,,,,,1569918,,,,,,,,,,,,,,,,,,,,,,,,,,260351,,,,,,,,,,,,,,,,,
3368,dc8fb595a8093c35823319385d9505e3,Sylvia,/movie/Sylvia,2003/10/17,Focus Features,,,,,,,,,1302242,,,,,,,,,,,,,,,,,,,,,,,,,,215960,,,,,,,,,,,,,,,,,
3572,60483fd1e723e242993a67de0a845940,Nine Dead Gay Guys,/movie/Nine-Dead-Gay-Guys,2003/10/17,TLA Releasing,,,,,,,,,23545,2143,,,,,,,,,,,,,,,,,,,,,,,,,3904,345,,,,,,,,,,,,,,,,
3618,7a04142cac66db56002338208b030808,High Times' Potluck,/movie/High-Times-Potluck,2003/10/17,,,,,,,,,,4827,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,
3518,444d6abd2c995c967e94814194fdf04e,Returner,/movie/Returner,2003/10/17,,,,,,,,,,69886,,,,,,,,,,,,,,,,,,,,,,,,,,11589,,,,,,,,,,,,,,,,,
3231,a3cf0e0d03dd4c9aba1bf02059cd2d19,Radio,/movie/Radio-(2003),2003/10/24,Sony Pictures,,,,,,,,,51801566,532172,,,,,,,,,,,,,,,,,,,,,,,,,8590641,85695,,,,,,,,,,,,,,,,
3335,81f1da533ef4eebd068019f00a5789f3,Beyond Borders,/movie/Beyond-Borders,2003/10/24,Paramount Pictures,,,,,,,,,4426297,,,,,,,,,,,,,,,,,,,,,,,,,,734045,,,,,,,,,,,,,,,,,
3196,d3fbd0f21ec99c106a314dd1822c6927,Scary Movie 3,/movie/Scary-Movie-3,2003/10/24,Miramax/Dimension,,,,,,,,,109563395,436687,,,,,,,,,,,,,,,,,,,,,,,,,18169717,70319,,,,,,,,,,,,,,,,
3369,5c247b1a01dde12d9997114e61f1ec80,Elephant,/movie/Elephant,2003/10/24,Fine Line,,,,,,,,,1266955,,,,,,,,,,,,,,,,,,,,,,,,,,210108,,,,,,,,,,,,,,,,,
3479,18fe1d5dd6d0ea1597b5c81e271e5965,The Revolution Will Not Be …,/movie/Revolution-Will-Not-Be-Televised-The,2003/10/24,,,,,,,,,,153859,,,,,,,,,,,,,,,,,,,,,,,,,,25515,,,,,,,,,,,,,,,,,
3428,a10208d03b30a393bedb509ce9e4c4fa,The Singing Detective,/movie/Singing-Detective-The,2003/10/24,Paramount Pictures,,,,,,,,,327314,9142,,,,,,,,,,,,,,,,,,,,,,,,,54280,1472,,,,,,,,,,,,,,,,
3207,a46a06d195af105e7e86818345992edd,Brother Bear,/movie/Brother-Bear,2003/10/24,Walt Disney,,,,,,,,,83297298,2038979,,,,,,,,,,,,,,,,,,,,,,,,,13813813,328338,,,,,,,,,,,,,,,,
3431,00f9fe78dd86e1df33b821ca1ff45b10,Die Mommie Die,/movie/Die-Mommie-Die,2003/10/31,,,,,,,,,,320092,,,,,,,,,,,,,,,,,,,,,,,,,,53083,,,,,,,,,,,,,,,,,
3614,ec469831db267e806bbc4d81d00d72b1,Suspended Animation,/movie/Suspended-Animation,2003/10/31,,,,,,,,,,6869,,,,,,,,,,,,,,,,,,,,,,,,,,1139,,,,,,,,,,,,,,,,,
3325,583dd371f802bc32986c21b16520bb26,The Human Stain,/movie/Human-Stain-The,2003/10/31,Miramax,,,,,,,,,5361450,19777,,,,,,,,,,,,,,,,,,,,,,,,,889129,3184,,,,,,,,,,,,,,,,
3559,782ee4892319cbdd2df94e78be026b6f,Girlhood,/movie/Girlhood,2003/10/31,,,,,,,,,,28892,8935,,,,,,,,,,,16562,,,,,,,,,,,,,,4791,1438,,,,,,,,,,,1964,,,,,
3332,51baaf0aa0b7f4c1d96dcaeb404bf566,In the Cut,/movie/In-the-Cut,2003/10/31,Sony Pictures,,,,,,,,,4717455,,,,,,,,,,,,,,,,,,,,,,,,,,782330,,,,,,,,,,,,,,,,,
3522,7906e2675526c742501e227eeb83fc09,Pinjar,/movie/Pinjar-(India)-(2003),2003/10/31,,,,,,,,,,66290,,,,,,,,,,,,,,,,,,,,,,,,,,10993,,,,,,,,,,,,,,,,,
3355,498ef88fd81763627ad0adc6b73f33cc,Shattered Glass,/movie/Shattered-Glass,2003/10/31,Lionsgate,,,,,,,,,2105024,102951,,,,,,,,,,,,,,,,,,,,,,,,,349091,16578,,,,,,,,,,,,,,,,
3187,b678b00e7f0c5c425d4b6886c7f0980c,The Matrix Revolutions,/movie/Matrix-Revolutions-The,2003/11/05,Warner Bros.,,,,,,,,,138294428,976482,,,,,,,,,,,,,,,,,,,,,,,,,22934399,157243,,,,,,,,,,,,,,,,
3184,407b8ec86c4798b6b2c286bb37a69387,Elf,/movie/Elf,2003/11/07,New Line,,,,,,,,,170837644,2560874,,,,,,,,,,,,,,442073,786249,875000,,,,,,,,,28331284,412379,,,,,,,,,,,,,,48526,85835,95524
3223,4b70324a6b3c45e50a30a38ecc6b8423,Love Actually,/movie/Love-Actually,2003/11/07,Universal,,,,,,,,,57429915,2042363,,,,,,,,,,,,,,,,,,,,,,,,,9524032,328882,,,,,,,,,,,,,,,,
3591,8080b7c15f22df638b4c3edf303b98be,Martin and Orloff,/movie/Martin-and-Orloff,2003/11/07,Spit and Glue,,,,,,,,,13409,20813,,,,,,,,,,,,,,,,,,,,,,,,,2223,3351,,,,,,,,,,,,,,,,
3478,889866e7aa219efbecd5a235a62064d7,Billabong Odyssey,/movie/Billabong-Odyssey,2003/11/07,,,,,,,,,,155500,,,,,,,,,,,,,,,,,,,,,,,,,,25787,,,,,,,,,,,,,,,,,
3606,c81d32894265df31499a127decc133b1,Love Forbidden,/movie/Love-Forbidden,2003/11/07,,,,,,,,,,8923,,,,,,,,,,,,,,,,,,,,,,,,,,1479,,,,,,,,,,,,,,,,,
3587,511fb175be024da32fe9cf9b88cac6a5,Hidden in Plain Sight,/movie/Hidden-in-Plain-Sight,2003/11/07,,,,,,,,,,14876,,,,,,,,,,,,,,,,,,,,,,,,,,2466,,,,,,,,,,,,,,,,,
3568,0d8e2d7e569b62369b918d7b9aa250aa,In My Skin,/movie/In-My-Skin,2003/11/07,,,,,,,,,,26835,4211,,,,,,,,,,,,,,,,,,,,,,,,,4450,678,,,,,,,,,,,,,,,,
3607,b89a32a6fa57ba440c4fdc57a5a296e7,American Storytellers,/movie/American-Storytellers,2003/11/07,Indican Pictures,,,,,,,,,8440,15642,,,,,,,,,,,,,,,,,,,,,,,,,1399,2518,,,,,,,,,,,,,,,,
3642,c228d763d63dfa21af3a3358915f7e76,A House on a Hill,/movie/House-on-a-Hill-A,2003/11/14,,,,,,,,,,678,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,
3283,414f0942686d9944bd2150d2c891211e,Looney Tunes: Back in Action,/movie/Looney-Tunes-Back-in-Action,2003/11/14,Warner Bros.,,,,,,,,,20678510,272310,,,,,,,,,,,,,,,,,,,,,,,,,3429271,43850,,,,,,,,,,,,,,,,
3312,ef7e404590cd0ae9745858ff145c7d83,Tupac Resurrection,/movie/Tupac-Resurrection,2003/11/14,Paramount Pictures,,,,,,,,,7718961,,,,,,,,,,,,,,,,,,,,,,,,,,1280093,,,,,,,,,,,,,,,,,
3208,3f7be826873f478441ce472644342629,Master and Commander: The F…,/movie/Master-and-Commander-The-Far-Side-of-the-World,2003/11/14,20th Century Fox,,,,,,,,,83006144,10920242,,,,,,,,,,,,,,,,,,,,,,,,,13765529,1758493,,,,,,,,,,,,,,,,
3620,a96a8453fff1c0e1d9d2b9dcb744bf56,Melvin Goes to Dinner,/movie/Melvin-Goes-to-Dinner,2003/11/14,,,,,,,,,,4168,,,,,,,,,,,,,,,,,,,,,,,,,,691,,,,,,,,,,,,,,,,,
3414,2ed097bdb28e0294cc005d0e855b2b27,My Architect,/movie/My-Architect,2003/11/14,New Yorker,,,,,,,,,439580,2382942,,,,,,,,,,,,,,,,,,,,,,,,,72898,383726,,,,,,,,,,,,,,,,
3528,0d2e21177e900f42758400e871c88566,I Vitelloni,/movie/I-Vitelloni,2003/11/14,Kino International,,,,,,,,,59659,55604,,,,,,,,,,,,,,,,,,,,,,,,,9893,8953,,,,,,,,,,,,,,,,
3521,d8eeb7e5667cf822c289357618bed1f6,Standard Time,/movie/Anything-But-Love-(2002),2003/11/14,MGM,,,,,,,,,68083,12693,,,,,,,,,,,,,,,,,,,,,,,,,11290,2043,,,,,,,,,,,,,,,,
3222,f9abd7268c6d9eb7d41822ce78ad0922,Gothika,/movie/Gothika,2003/11/21,Warner Bros.,,,,,,,,,58224334,1363734,,,,,,,,,,,,,,,,,,,,,,,,,9655776,219602,,,,,,,,,,,,,,,,
3203,04e1003641e2826c3e7f068521ebe460,The Cat in the Hat,/movie/Cat-in-the-Hat-The,2003/11/21,Universal,,,,,,,,,99383495,1634788,,,,,,,,,,,,,,,,,,,,,,,,,16481508,263250,,,,,,,,,,,,,,,,
3552,8871deb72fd4261ef87ccd8abf408ed6,Out of Control,/movie/Out-of-Control-(India)-(2003),2003/11/21,,,,,,,,,,36486,,,,,,,,,,,,,,,,,,,,,,,,,,6050,,,,,,,,,,,,,,,,,
3558,9217035122f4e0147f0dff8edad1620c,Sans Soleil,/movie/Sans-Soleil,2003/11/21,,,,,,,,,,30878,,,,,,,,,,,,,,,,,,,,,,,,,,5120,,,,,,,,,,,,,,,,,
3603,46a37e4c929017ed2a6ee2347150aa9e,Acts of Worship,/movie/Acts-of-Worship,2003/11/21,,,,,,,,,,9377,,,,,,,,,,,,,,,,,,,,,,,,,,1555,,,,,,,,,,,,,,,,,
3637,b9597112d6cb5d387ab4e0b70f0f54ed,El Leyton,/movie/Leyton-El,2003/11/21,,,,,,,,,,1332,,,,,,,,,,,,,,,,,,,,,,,,,,220,,,,,,,,,,,,,,,,,
