,tconst,movie,link,runtime,genres,day,month,year,dist,gross_1995,gross_1996,gross_1997,gross_1998,gross_1999,gross_2000,gross_2001,gross_2002,gross_2003,gross_2004,gross_2005,gross_2006,gross_2007,gross_2008,gross_2009,gross_2010,gross_2011,gross_2012,gross_2013,gross_2014,gross_2015,gross_2016,gross_2017,gross_2018,gross_2019,gross_2020,tickets_1995,tickets_1996,tickets_1997,tickets_1998,tickets_1999,tickets_2000,tickets_2001,tickets_2002,tickets_2003,tickets_2004,tickets_2005,tickets_2006,tickets_2007,tickets_2008,tickets_2009,tickets_2010,tickets_2011,tickets_2012,tickets_2013,tickets_2014,tickets_2015,tickets_2016,tickets_2017,tickets_2018,tickets_2019,tickets_2020
3752,tt0376968,The Return,/movie/Return-The,110,Drama,06,02,2004,Kino International,,,,,,,,,,501752.0,,,,,,,,,,,,,,,,,,,,,,,,,,80797.0,,,,,,,,,,,,,,,,
3753,tt8269566,A Piece of My Heart,/movie/Perfect-Opposites,116,"Comedy,Musical,Romance",06,02,2004,,,,,,,,,,,11329.0,,,,,,,,,,,,,,,,,,,,,,,,,,1824.0,,,,,,,,,,,,,,,,
3754,tt0309987,The Dreamers,/movie/Dreamers-The,115,"Drama,Romance",06,02,2004,Fox Searchlight,,,,,,,,,,2531462.0,,,,,,,,,,,,,,,,,,,,,,,,,,407642.0,,,,,,,,,,,,,,,,
3755,tt0234940,An Amazing Couple,/movie/Couple-epatant-Un,97,"Comedy,Romance",06,02,2004,Magnolia Pictures,,,,,,,,,,47602.0,,,,,,,,,,,,,,,,,,,,,,,,,,7665.0,,,,,,,,,,,,,,,,
3756,tt0307109,The Lost Skeleton of Cadavra,/movie/Lost-Skeleton-of-Cadavra-The,90,"Comedy,Horror,Sci-Fi",06,02,2004,,,,,,,,,,,110536.0,,,,,,,,,,,,,,,,,,,,,,,,,,17799.0,,,,,,,,,,,,,,,,
3757,tt0337579,Barbershop 2: Back in Business,/movie/Barbershop-2-Back-in-Business,106,"Comedy,Drama",06,02,2004,MGM,,,,,,,,,,65070412.0,,,,,,,,,,,,,,,,,,,,,,,,,,10478327.0,,,,,,,,,,,,,,,,
3758,tt0349825,Miracle,/movie/Miracle-(2004),135,"Biography,Drama,History",06,02,2004,Walt Disney,,,,,,,,,,64378093.0,,,,,,,,,,,,,,,,,,,,,,,,,,10366842.0,,,,,,,,,,,,,,,,
3759,tt0337917,Catch That Kid,/movie/Catch-That-Kid,91,"Action,Adventure,Comedy",06,02,2004,20th Century Fox,,,,,,,,,,16703799.0,,,,,,,,,,,,,,,,,,,,,,,,,,2689822.0,,,,,,,,,,,,,,,,
3760,tt0339147,Highwaymen,/movie/Highwaymen,80,"Action,Crime,Horror",13,02,2004,New Line,,,,,,,,,,367027.0,,,,,,,,,,,,,,,,,,,,,,,,,,59102.0,,,,,,,,,,,,,,,,
3761,tt0387155,Dans l'oeil Du Chat,/movie/Dans-l-oeil-Du-Chat,94,Thriller,13,02,2004,,,,,,,,,,,155714.0,,,,,,,,,,,,,,,,,,,,,,,,,,25074.0,,,,,,,,,,,,,,,,
3762,tt0301777,Robot Stories,/movie/Robot-Stories,85,"Drama,Romance,Sci-Fi",13,02,2004,Pak Films,,,,,,,,,,131451.0,,,,,,,,,,,,,,,,,,,,,,,,,,21167.0,,,,,,,,,,,,,,,,
3763,tt0281176,The Seagull's Laughter,/movie/Seagulls-Laughter-The,102,"Comedy,Drama",13,02,2004,Cinema Guild,,,,,,,,,,72527.0,,,,,,,,,,,,,,,,,,,,,,,,,,11679.0,,,,,,,,,,,,,,,,
3765,tt0343660,50 First Dates,/movie/50-First-Dates,99,"Comedy,Drama,Romance",13,02,2004,Sony Pictures,,,,,,,,,,120776832.0,,,,,,,,,,,,,,,,,,,,,,,,,,19448765.0,,,,,,,,,,,,,,,,
3766,tt0328077,Love Object,/movie/Love-Object,88,"Drama,Horror,Romance",13,02,2004,,,,,,,,,,,6028.0,,,,,,,,,,,,,,,,,,,,,,,,,,970.0,,,,,,,,,,,,,,,,
3768,tt0329388,Monsieur Ibrahim,/movie/Monsieur-Ibrahim,96,"Comedy,Drama",13,02,2004,Sony Pictures Cla…,,,,,,,,,,2824365.0,,,,,,,,,,,,,,,,,,,,,,,,,,454809.0,,,,,,,,,,,,,,,,
3769,tt0058450,The Umbrellas of Cherbourg,/movie/Umbrellas-of-Cherbourg-The,91,"Drama,Musical,Romance",13,02,2004,,,,,,,,,,,18425.0,,,,,,,,,,,,,,,,,,,,,,,,,,2966.0,,,,,,,,,,,,,,,,
3770,tt0304391,La mentale,/movie/mentale-La,116,"Action,Crime,Drama",13,02,2004,,,,,,,,,,,12842.0,,,,,,,,,,,,,,,,,,,,,,,,,,2067.0,,,,,,,,,,,,,,,,
3771,tt0377038,The Best Two Years,/movie/Best-Two-Years-The,112,"Comedy,Drama",20,02,2004,Halestorm Enterta…,,,,,,,,,,1163450.0,,,,,,,,,,,,,,,,,,,,,,,,,,187351.0,,,,,,,,,,,,,,,,
3772,tt0313300,The Blue Butterfly,/movie/Blue-Butterfly-The,97,"Adventure,Drama",20,02,2004,Alliance Films,,,,,,,,,,1610194.0,,,,,,,,,,,,,,,,,,,,,,,,,,259290.0,,,,,,,,,,,,,,,,
3773,tt0391892,Crying Ladies,/movie/Crying-Ladies,111,"Comedy,Drama",20,02,2004,Unico Entertainment,,,,,,,,,,132920.0,,,,,,,,,,,,,,,,,,,,,,,,,,21404.0,,,,,,,,,,,,,,,,
3774,tt0312329,Against the Ropes,/movie/Against-the-Ropes,110,"Biography,Drama,Romance",20,02,2004,Paramount Pictures,,,,,,,,,,5881504.0,,,,,,,,,,,,,,,,,,,,,,,,,,947102.0,,,,,,,,,,,,,,,,
3775,tt0356150,Eurotrip,/movie/Eurotrip,92,Comedy,20,02,2004,Dreamworks SKG,,,,,,,,,,17718223.0,,,,,,,,,,,,,,,,,,,,,,,,,,2853176.0,,,,,,,,,,,,,,,,
3776,tt0383475,Lost Boys of Sudan,/movie/Lost-Boys-of-Sudan,87,Documentary,20,02,2004,Shadow,,,,,,,,,,182839.0,,,,,,,,,,,,,,,,,,,,,,,,,,29442.0,,,,,,,,,,,,,,,,
3777,tt0246593,Big Animal,/movie/Duze-zwierze,73,"Comedy,Drama",20,02,2004,,,,,,,,,,,3733.0,,,,,,,,,,,,,,,,,,,,,,,,,,601.0,,,,,,,,,,,,,,,,
3778,tt0307913,Abouna,/movie/Abouna,84,Drama,20,02,2004,Leisure Time Feat…,,,,,,,,,,2350.0,,,,,,,,,,,,,,,,,,,,,,,,,,378.0,,,,,,,,,,,,,,,,
3779,tt0285052,Effroyables Jardins,/movie/Effroyables-Jardins,95,"Drama,War",20,02,2004,,,,,,,,,,,78668.0,,,,,,,,,,,,,,,,,,,,,,,,,,12667.0,,,,,,,,,,,,,,,,
3782,tt0361925,Welcome to Mooseport,/movie/Welcome-to-Mooseport,110,"Comedy,Romance",20,02,2004,20th Century Fox,,,,,,,,,,14469428.0,,,,,,,,,,,,,,,,,,,,,,,,,,2330020.0,,,,,,,,,,,,,,,,
3783,tt0323872,Kitchen Stories,/movie/Kitchen-Stories,95,"Comedy,Drama",20,02,2004,IFC Films,,,,,,,,,,349315.0,,,,,,,,,,,,,,,,,,,,,,,,,,56250.0,,,,,,,,,,,,,,,,
3785,tt0331953,Club Dread,/movie/Club-Dread,104,"Comedy,Horror,Mystery",27,02,2004,Fox Searchlight,,,,,,,,,,5001655.0,,,,,,,,,,,,,,,,,,,,,,,,,,805419.0,,,,,,,,,,,,,,,,
3787,tt0357585,Decoys,/movie/Decoys,95,"Horror,Sci-Fi",27,02,2004,,,,,,,,,,,84733.0,,,,,,,,,,,,,,,,,,,,,,,,,,13644.0,,,,,,,,,,,,,,,,
3788,tt0349079,Alila,/movie/Alila,123,"Comedy,Drama",27,02,2004,Kino International,,,,,,,,,,48493.0,,,,,,,,,,,,,,,,,,,,,,,,,,7808.0,,,,,,,,,,,,,,,,
3789,tt0358079,Risk/Reward,/movie/Risk-Reward,88,Documentary,27,02,2004,,,,,,,,,,,2517.0,,,,,,,,,,,,,,,,,,,,,,,,,,405.0,,,,,,,,,,,,,,,,
3791,tt0285156,What Boys Like,/movie/What-Boys-Like,85,Comedy,27,02,2004,,,,,,,,,,,955.0,,,,,,,,,,,,,,,,,,,,,,,,,,153.0,,,,,,,,,,,,,,,,
3792,tt0372370,Lana's Rain,/movie/Lanas-Rain,107,Drama,27,02,2004,ISA Releasing,,,,,,,,,,44287.0,,,,,,,,,,,,,,,,,,,,,,,,,,7131.0,,,,,,,,,,,,,,,,
3793,tt0379307,Greendale,/movie/Greendale,87,"Drama,Musical",27,02,2004,Shakey Pictures,,,,,,,,,,251862.0,,,,,,,,,,,,,,,,,,,,,,,,,,40557.0,,,,,,,,,,,,,,,,
3795,tt0335438,Starsky & Hutch,/movie/Starsky-and-Hutch,101,"Comedy,Crime",05,03,2004,Warner Bros.,,,,,,,,,,88200225.0,,,,,,,,,,,,,,,,,,,,,,,,,,14202934.0,,,,,,,,,,,,,,,,
3797,tt0317648,Hidalgo,/movie/Hidalgo,136,"Action,Adventure,Biography",05,03,2004,Walt Disney,,,,,,,,,,67286731.0,,,,,,,,,,,,,,,,,,,,,,,,,,10835222.0,,,,,,,,,,,,,,,,
3798,tt0342316,"Love, Sex and Eating the Bones",/movie/Love-Sex-and-Eating-the-Bones,100,"Comedy,Romance",05,03,2004,,,,,,,,,,,116869.0,,,,,,,,,,,,,,,,,,,,,,,,,,18819.0,,,,,,,,,,,,,,,,
3800,tt0305178,James' Journey to Jerusalem,/movie/James-Journey-to-Jerusalem,91,"Comedy,Drama",05,03,2004,Zeitgeist,,,,,,,,,,63768.0,,,,,,,,,,,,,,,,,,,,,,,,,,10268.0,,,,,,,,,,,,,,,,
3803,tt0368851,Maestro,/movie/Maestro,89,Documentary,12,03,2004,,,,,,,,,,,25315.0,,,,,,,,,,,,,,,,,,,,,,,,,,4076.0,,,,,,,,,,,,,,,,
3806,tt0353774,NASCAR: The IMAX Experience,/movie/NASCAR-The-IMAX-Experience,48,"Documentary,Sport",12,03,2004,Warner Bros.,,,,,,,,,,19558397.0,1991838.0,,,,,,,,,,,,,,,,,,,,,,,,,3149500.0,310739.0,,,,,,,,,,,,,,,
3807,tt0329767,Wilbur Wants to Kill Himself,/movie/Wilbur-Wants-to-Kill-Himself,111,"Comedy,Drama,Romance",12,03,2004,ThinkFilm,,,,,,,,,,233053.0,,,,,,,,,,,,,,,,,,,,,,,,,,37528.0,,,,,,,,,,,,,,,,
3808,tt0358647,Power Trip,/movie/Power-Trip,86,Documentary,12,03,2004,Artistic License,,,,,,,,,,38593.0,,,,,,,,,,,,,,,,,,,,,,,,,,6214.0,,,,,,,,,,,,,,,,
3809,tt0363988,Secret Window,/movie/Secret-Window,96,"Drama,Mystery,Thriller",12,03,2004,Sony Pictures,,,,,,,,,,47958031.0,,,,,,,,,,,,,,,,,,,,,,,,,,7722710.0,,,,,,,,,,,,,,,,
3810,tt0303348,How to Draw a Bunny,/movie/How-to-Draw-a-Bunny,90,Documentary,12,03,2004,,,,,,,,,,,2706.0,,,,,,,,,,,,,,,,,,,,,,,,,,435.0,,,,,,,,,,,,,,,,
3811,tt0360009,Spartan,/movie/Spartan,106,"Action,Crime,Drama",12,03,2004,Warner Bros.,,,,,,,,,,4357745.0,,,,,,,,,,,,,,,,,,,,,,,,,,701730.0,,,,,,,,,,,,,,,,
3812,tt10613992,Games People Play,/movie/Games-People-Play,117,Comedy,12,03,2004,,,,,,,,,,,111336.0,,,,,,,,,,,,,,,,,,,,,,,,,,17928.0,,,,,,,,,,,,,,,,
3813,tt0332658,Intermission,/movie/Intermission,105,"Comedy,Crime,Drama",19,03,2004,IFC Films,,,,,,,,,,889857.0,,,,,,,,,,,,,,,,,,,,,,,,,,143294.0,,,,,,,,,,,,,,,,
3814,tt0363547,Dawn of the Dead,/movie/Dawn-of-the-Dead-(2004),101,"Action,Horror",19,03,2004,Universal,,,,,,,,,,58990765.0,,,,,,,,,,,,,,,,,,,,,,,,,,9499318.0,,,,,,,,,,,,,,,,
3815,tt0364045,Taking Lives,/movie/Taking-Lives,103,"Crime,Mystery,Thriller",19,03,2004,Warner Bros.,,,,,,,,,,32682342.0,,,,,,,,,,,,,,,,,,,,,,,,,,5262857.0,,,,,,,,,,,,,,,,
3817,tt0310778,Bon Voyage,/movie/Bon-Voyage,114,"Comedy,Drama,Mystery",19,03,2004,Sony Pictures,,,,,,,,,,2353728.0,,,,,,,,,,,,,,,,,,,,,,,,,,379022.0,,,,,,,,,,,,,,,,
3818,tt0303917,Divan,/movie/Divan,90,Documentary,19,03,2004,Zeitgeist,,,,,,,,,,56214.0,,,,,,,,,,,,,,,,,,,,,,,,,,9052.0,,,,,,,,,,,,,,,,
3820,tt0408261,This Old Cub,/movie/This-Old-Cub,86,"Documentary,Sport",26,03,2004,Emerging Pictures,,,,,,,,,,253531.0,,,,,,,,,,,,,,,,,,,,,,,,,,40826.0,,,,,,,,,,,,,,,,
3821,tt0304857,Two Men Went to War,/movie/Two-Men-Went-to-War,109,"Comedy,Drama,War",26,03,2004,Indican Pictures,,,,,,,,,,149104.0,1104.0,,,,,,,,,,,,,925.0,,,,,,,,,,,,24010.0,172.0,,,,,,,,,,,,,101.0,,
3822,tt0373788,Le Dernier Tunnel,/movie/Dernier-Tunnel-Le,109,"Crime,Drama",26,03,2004,Christal Films,,,,,,,,,,1057599.0,,,,,,,,,,,,,,,,,,,,,,,,,,170305.0,,,,,,,,,,,,,,,,
3823,tt0230512,Mayor of the Sunset Strip,/movie/Mayor-of-the-Sunset-Strip,94,"Biography,Documentary,Music",26,03,2004,First Look,,,,,,,,,,257315.0,,,,,,,,,,,,,,,,,,,,,,,,,,41435.0,,,,,,,,,,,,,,,,
3824,tt0335245,The Ladykillers,/movie/Ladykillers-The,104,"Comedy,Crime,Thriller",26,03,2004,Walt Disney,,,,,,,,,,39692139.0,,,,,,,,,,,,,,,,,,,,,,,,,,6391648.0,,,,,,,,,,,,,,,,
3825,tt0337721,The Snow Walker,/movie/Snow-Walker-The,103,"Adventure,Drama",26,03,2004,,,,,,,,,,,201149.0,,,,,,,,,,,,,,,,,,,,,,,,,,32391.0,,,,,,,,,,,,,,,,
3826,tt0326988,I'll Sing for You,/movie/Ill-Sing-for-You,76,"Biography,Documentary,Drama",26,03,2004,First Run Features,,,,,,,,,,8798.0,,,,,,,,,,,,,,,,,,,,,,,,,,1416.0,,,,,,,,,,,,,,,,
3828,tt0300051,Jersey Girl,/movie/Jersey-Girl,102,"Comedy,Drama,Romance",26,03,2004,Miramax,,,,,,,,,,25266129.0,,,,,,,,,,,,,,,,,,,,,,,,,,4068619.0,,,,,,,,,,,,,,,,
3829,tt0339558,Raja,/movie/Raja,112,Drama,26,03,2004,,,,,,,,,,,13000.0,,,,,,,,,,,,,,,,,,,,,,,,,,2093.0,,,,,,,,,,,,,,,,
3831,tt0277941,Ned Kelly,/movie/Ned-Kelly,110,"Action,Adventure,Biography",26,03,2004,Universal,,,,,,,,,,86959.0,,,,,,,,,,,,,,,,,,,,,,,,,,14003.0,,,,,,,,,,,,,,,,
3832,tt0354766,Never Die Alone,/movie/Never-Die-Alone,88,"Action,Crime,Drama",26,03,2004,Fox Searchlight,,,,,,,,,,5644575.0,,,,,,,,,,,,,,,,,,,,,,,,,,908949.0,,,,,,,,,,,,,,,,
3833,tt0301976,The United States of Leland,/movie/United-States-of-Leland-The,108,Drama,02,04,2004,Paramount Vantage,,,,,,,,,,343816.0,,,,,,,,,,,,,,,,,,,,,,,,,,55364.0,,,,,,,,,,,,,,,,
3834,tt0167190,Hellboy,/movie/Hellboy,122,"Action,Fantasy,Horror",02,04,2004,Sony Pictures,,,,,,,,,,59623958.0,,,,,,,,,,,,,,,,,,,,,,,,,,9601281.0,,,,,,,,,,,,,,,,
3836,tt0286112,Shaolin Soccer,/movie/Shaolin-Soccer,113,"Action,Comedy,Family",02,04,2004,Miramax,,,,,,,,,,488872.0,,,,,,,,,,,,,,,,,,,,,,,,,,78723.0,,,,,,,,,,,,,,,,
3838,tt0299172,Home on the Range,/movie/Home-on-the-Range,76,"Adventure,Animation,Comedy",02,04,2004,Walt Disney,,,,,,,,,,50026353.0,,,,,,,,,,,,,,,,,,,,,,,,,,8055773.0,,,,,,,,,,,,,,,,
3840,tt0351977,Walking Tall,/movie/Walking-Tall,86,"Action,Crime",02,04,2004,MGM,,,,,,,,,,46213824.0,,,,,,,,,,,,,,,,,,,,,,,,,,7441839.0,,,,,,,,,,,,,,,,
3841,tt0358590,A Thousand Clouds of Peace,/movie/Thousand-Clouds-of-Peace-A,83,"Drama,Romance",02,04,2004,Strand,,,,,,,,,,45933.0,,,,,,,,,,,,,,,,,,,,,,,,,,7396.0,,,,,,,,,,,,,,,,
3842,tt0337697,The Prince & Me,/movie/Prince-and-Me-The,111,"Comedy,Family,Romance",02,04,2004,Paramount Pictures,,,,,,,,,,28165882.0,,,,,,,,,,,,,,,,,,,,,,,,,,4535568.0,,,,,,,,,,,,,,,,
3843,tt0276919,Dogville,/movie/Dogville,178,"Crime,Drama",02,04,2004,Lionsgate,,,,,,,,,,1530386.0,,,,,,,,,,,,,,,,,,,,,,,,,,246438.0,,,,,,,,,,,,,,,,
3844,tt0359517,Johnson Family Vacation,/movie/Johnson-Family-Vacation,97,Comedy,07,04,2004,Fox Searchlight,,,,,,,,,,31203964.0,,,,,,,,,,,,,,,,,,,,,,,,,,5024792.0,,,,,,,,,,,,,,,,
3845,tt0265208,The Girl Next Door,/movie/Girl-Next-Door-The-(2004),109,"Comedy,Drama,Romance",09,04,2004,20th Century Fox,,,,,,,,,,14589444.0,,,,,,,,,,,,,,,,,,,,,,,,,,2349346.0,,,,,,,,,,,,,,,,
3846,tt0326148,Showboy,/movie/Showboy,93,"Comedy,Drama",09,04,2004,Regent Releasing,,,,,,,,,,34646.0,,,,,,,,,,,,,,,,,,,,,,,,,,5579.0,,,,,,,,,,,,,,,,
3847,tt0327247,The Whole Ten Yards,/movie/Whole-Ten-Yards-The,98,"Comedy,Crime,Thriller",09,04,2004,Warner Bros.,,,,,,,,,,16323969.0,,,,,,,,,,,,,,,,,,,,,,,,,,2628658.0,,,,,,,,,,,,,,,,
3848,tt0406977,Masti,/movie/Masti,166,"Comedy,Crime,Mystery",09,04,2004,,,,,,,,,,,308566.0,,,,,,,,,,,,,,,,,,,,,,,,,,49688.0,,,,,,,,,,,,,,,,
3849,tt0327679,Ella Enchanted,/movie/Ella-Enchanted,96,"Comedy,Family,Fantasy",09,04,2004,Miramax,,,,,,,,,,22913677.0,,,,,,,,,,,,,,,,,,,,,,,,,,3689803.0,,,,,,,,,,,,,,,,
3850,tt0318974,The Alamo,/movie/Alamo-The-(2004),137,"Drama,History,War",09,04,2004,Walt Disney,,,,,,,,,,22406362.0,,,,,,,,,,,,,,,,,,,,,,,,,,3608109.0,,,,,,,,,,,,,,,,
3851,tt0326977,I'm not Scared,/movie/Io-non-ho-paura,108,"Crime,Drama,Mystery",09,04,2004,Miramax,,,,,,,,,,1615118.0,,,,,,,,,,,,,,,,,,,,,,,,,,260083.0,,,,,,,,,,,,,,,,
3853,tt0323939,Shade,/movie/Shade,101,"Crime,Thriller",09,04,2004,,,,,,,,,,,25032.0,,,,,,,,,,,,,,,,,,,,,,,,,,4030.0,,,,,,,,,,,,,,,,
3854,tt0315110,Twentynine Palms,/movie/Twentynine-Palms,119,Drama,09,04,2004,WellSpring,,,,,,,,,,54523.0,,,,,,,,,,,,,,,,,,,,,,,,,,8779.0,,,,,,,,,,,,,,,,
3856,tt0289864,Big Ain't Bad,/movie/Big-Ain-t-Bad,108,Drama,16,04,2004,,,,,,,,,,,12288.0,,,,,,,,,,,,,,,,,,,,,,,,,,1978.0,,,,,,,,,,,,,,,,
3857,tt0251110,Gypsy 83,/movie/Gypsy-83,94,"Drama,Romance",16,04,2004,Small Planet,,,,,,,,,,29367.0,,,,,,,,,,,,,,,,,,,,,,,,,,4728.0,,,,,,,,,,,,,,,,
3859,tt0289635,Young Adam,/movie/Young-Adam,98,"Crime,Drama",16,04,2004,Sony Pictures Cla…,,,,,,,,,,767240.0,,,,,,,,,,,,,,,,,,,,,,,,,,123549.0,,,,,,,,,,,,,,,,
3860,tt0330793,The Punisher,/movie/Punisher-The,124,"Action,Crime,Drama",16,04,2004,Lionsgate,,,,,,,,,,33664370.0,,,,,,,,,,,,,,,,,,,,,,,,,,5420993.0,,,,,,,,,,,,,,,,
3863,tt0368721,Faster,/movie/Faster-(2004),103,Documentary,23,04,2004,Slamdance on the …,,,,,,,,,,16265.0,,,,,,,,,,,,,,,,,,,,,,,,,,2619.0,,,,,,,,,,,,,,,,
3865,tt0385779,L'incomparable mademoiselle C.,/movie/Incomparable-Mademoiselle-L-C,103,Comedy,23,04,2004,,,,,,,,,,,493905.0,,,,,,,,,,,,,,,,,,,,,,,,,,79533.0,,,,,,,,,,,,,,,,
3866,tt0351817,The Twilight Samurai,/movie/Twilight-Samurai-The,129,"Drama,History,Romance",23,04,2004,Empire Pictures,,,,,,,,,,529212.0,,,,,,,,,,,,,,,,,,,,,,,,,,85219.0,,,,,,,,,,,,,,,,
3867,tt0337563,13 Going On 30,/movie/13-Going-On-30,98,"Comedy,Fantasy,Romance",23,04,2004,Sony Pictures,,,,,,,,,,57139723.0,,,,,,,,,,,,,,,,,,,,,,,,,,9201243.0,,,,,,,,,,,,,,,,
3868,tt0387596,Silmido,/movie/Silmido,135,"Action,Drama",23,04,2004,Cinema Service,,,,,,,,,,298347.0,,,,,,,,,,,,,,,,,,,,,,,,,,48042.0,,,,,,,,,,,,,,,,
3869,tt0377031,The Agronomist,/movie/Agronomist-The,90,"Biography,Documentary,History",23,04,2004,ThinkFilm,,,,,,,,,,226189.0,,,,,,,,,,,,,,,,,,,,,,,,,,36423.0,,,,,,,,,,,,,,,,
3870,tt0328107,Man on Fire,/movie/Man-on-Fire-(2004),146,"Action,Crime,Drama",23,04,2004,20th Century Fox,,,,,,,,,,77906816.0,,,,,,,,,,,,,,,,,,,,,,,,,,12545380.0,,,,,,,,,,,,,,,,
3871,tt0398872,Clifford's Really Big Movie,/movie/Cliffords-Really-Big-Movie,74,"Adventure,Animation,Comedy",23,04,2004,Warner Bros.,,,,,,,,,,2922354.0,,,,,,,,,,,,,,,,,,,,,,,,,,470588.0,,,,,,,,,,,,,,,,
3872,tt0336264,Since Otar Left,/movie/Since-Otar-Left,103,Drama,30,04,2004,Zeitgeist,,,,,,,,,,344974.0,,,,,,,,,,,,,,,,,,,,,,,,,,55551.0,,,,,,,,,,,,,,,,
3873,tt0379926,People Say I'm Crazy,/movie/People-Say-I-m-Crazy,84,Documentary,30,04,2004,Palo Alto Pictures,,,,,,,,,,15679.0,,,,,,,,,,,,,,,,,,,,,,,,,,2524.0,,,,,,,,,,,,,,,,
3874,tt0347473,Main Hoon Na,/movie/Main-Hoon-Na,182,"Action,Comedy,Drama",30,04,2004,Eros Entertainment,,,,,,,,,,1722453.0,,,,,,,,,,,,,,,,,,,,,,,,,,277367.0,,,,,,,,,,,,,,,,
3876,tt0277895,Mickey,/movie/Mickey,105,"Drama,Sport",30,04,2004,Slugger Films,,,,,,,,,,293793.0,,,,,,,,,,,,,,,,,,,,,,,,,,47309.0,,,,,,,,,,,,,,,,
3877,tt0377092,Mean Girls,/movie/Mean-Girls,97,Comedy,30,04,2004,Paramount Pictures,,,,,,,,,,86047227.0,,,,,,,,,,,,,,,,,,,,,,,,,,13856236.0,,,,,,,,,,,,,,,,
3878,tt0375104,Bobby Jones: Stroke of Genius,/movie/Bobby-Jones-Stroke-of-Genius,123,"Biography,Drama,Romance",30,04,2004,Film Foundry,,,,,,,,,,2694071.0,,,,,,,,,,,,,,,,,,,,,,,,,,433827.0,,,,,,,,,,,,,,,,
3879,tt0323033,Laws of Attraction,/movie/Laws-of-Attraction,90,"Comedy,Romance",30,04,2004,New Line,,,,,,,,,,17848322.0,,,,,,,,,,,,,,,,,,,,,,,,,,2874125.0,,,,,,,,,,,,,,,,
3881,tt0385878,Monica La Mitraille,/movie/Monica-La-Mitraille,125,Drama,30,04,2004,Distributor Unknown,,,,,,,,,,1182372.0,,,,,,,,,,,,,,,,,,,,,,,,,,190398.0,,,,,,,,,,,,,,,,
3882,tt0366996,The Saddest Music in the World,/movie/Saddest-Music-in-the-World-The,100,"Comedy,Musical",30,04,2004,IFC Films,,,,,,,,,,669128.0,,,,,,,,,,,,,,,,,,,,,,,,,,107750.0,,,,,,,,,,,,,,,,
3883,tt0326856,Envy,/movie/Envy,99,Comedy,30,04,2004,Dreamworks SKG,,,,,,,,,,13548322.0,,,,,,,,,,,,,,,,,,,,,,,,,,2181694.0,,,,,,,,,,,,,,,,
3884,tt0335121,Godsend,/movie/Godsend,102,"Drama,Fantasy,Horror",30,04,2004,Lionsgate,,,,,,,,,,14334645.0,,,,,,,,,,,,,,,,,,,,,,,,,,2308316.0,,,,,,,,,,,,,,,,
3885,tt0223828,Off the Lip,/movie/Off-the-Lip,87,"Adventure,Comedy,Sport",07,05,2004,Hannover House,,,,,,,,,,14773.0,,,,,,,,,,,,,,,,,,,,,,,,,,2378.0,,,,,,,,,,,,,,,,
3886,tt0396240,Superstar in a Housedress,/movie/Superstar-in-a-Housedress,95,"Biography,Documentary",07,05,2004,Distributor Unknown,,,,,,,,,,19050.0,,,,,,,,,,,,,,,,,,,,,,,,,,3067.0,,,,,,,,,,,,,,,,
3887,tt0296915,Valentin,/movie/Valentin,86,"Comedy,Drama,Romance",07,05,2004,Miramax,,,,,,,,,,275363.0,,,,,,,,,,,,,,,,,,,,,,,,,,44341.0,,,,,,,,,,,,,,,,
3888,tt0339419,The Mudge Boy,/movie/Mudge-Boy-The,94,"Crime,Drama,Romance",07,05,2004,Strand,,,,,,,,,,62544.0,,,,,,,,,,,,,,,,,,,,,,,,,,10071.0,,,,,,,,,,,,,,,,
3889,tt0338526,Van Helsing,/movie/Van-Helsing,131,"Action,Adventure,Fantasy",07,05,2004,Universal,,,,,,,,,,120150546.0,,,,,,,,,,,,,,,,,,,,,,,,,,19347914.0,,,,,,,,,,,,,,,,
3890,tt0362129,Seeing Other People,/movie/Seeing-Other-People,90,"Comedy,Romance",07,05,2004,Lantern Lane Ente…,,,,,,,,,,87923.0,,,,,,,,,,,,,,,,,,,,,,,,,,14158.0,,,,,,,,,,,,,,,,
3891,tt0363282,New York Minute,/movie/New-York-Minute,91,"Comedy,Crime,Family",07,05,2004,Warner Bros.,,,,,,,,,,14018364.0,,,,,,,,,,,,,,,,,,,,,,,,,,2257385.0,,,,,,,,,,,,,,,,
3893,tt0327594,Reeseville,/movie/Reeseville,99,"Mystery,Thriller",07,05,2004,Innovation Film G…,,,,,,,,,,14496.0,,,,,,,,,,,,,,,,,,,,,,,,,,2334.0,,,,,,,,,,,,,,,,
3894,tt0040367,A Foreign Affair,/movie/Foreign-Affair-A,116,"Comedy,Drama,Romance",07,05,2004,Innovation Film G…,,,,,,,,,,27516.0,,,,,,,,,,,,,,,,,,,,,,,,,,4430.0,,,,,,,,,,,,,,,,
3895,tt0390521,Super Size Me,/movie/Super-Size-Me,100,Documentary,07,05,2004,IDP Distribution,,,,,,,,,,11529368.0,,,,,,,,,,,,,,,,,,,,,,,,,,1856580.0,,,,,,,,,,,,,,,,
3898,tt0293007,Carandiru,/movie/Carandiru,145,"Crime,Drama",14,05,2004,Sony Pictures,,,,,,,,,,213954.0,,,,,,,,,,,,,,,,,,,,,,,,,,34453.0,,,,,,,,,,,,,,,,
