,tconst,movie,link,runtime,genres,day,month,year,dist,gross_1995,gross_1996,gross_1997,gross_1998,gross_1999,gross_2000,gross_2001,gross_2002,gross_2003,gross_2004,gross_2005,gross_2006,gross_2007,gross_2008,gross_2009,gross_2010,gross_2011,gross_2012,gross_2013,gross_2014,gross_2015,gross_2016,gross_2017,gross_2018,gross_2019,gross_2020,tickets_1995,tickets_1996,tickets_1997,tickets_1998,tickets_1999,tickets_2000,tickets_2001,tickets_2002,tickets_2003,tickets_2004,tickets_2005,tickets_2006,tickets_2007,tickets_2008,tickets_2009,tickets_2010,tickets_2011,tickets_2012,tickets_2013,tickets_2014,tickets_2015,tickets_2016,tickets_2017,tickets_2018,tickets_2019,tickets_2020
27,tt0055807,Bon Voyage!,/movie/Bon-Voyage-(1962),130,"Adventure,Comedy,Drama",17,05,1962,Walt Disney,,,,,,,,,148727.0,,,,,,,,,,,,,,,,,,,,,,,,,,24664.0,,,,,,,,,,,,,,,,,
28,tt0053459,Eyes Without a Face,/movie/Yeux-sans-visage-Les-(France),90,"Drama,Horror",31,12,1962,,,,,,,,,,52709.0,,,,,,,,,,,,,,,,,,,,,,,,,,8741.0,,,,,,,,,,,,,,,,,
29,tt0056801,8½,/movie/8-1-2,138,Drama,25,06,1963,Kino International,,,,,50690.0,,,,,,,,,,,,,,,,,,,,,,,,,,9978.0,,,,,,,,,,,,,,,,,,,,,
30,tt0056846,Bay of Angels,/movie/Baie-des-anges-La,90,"Drama,Romance",23,11,1963,Pathe Contemporar…,,,,,,,29855.0,55985.0,,,,,,,,,,,,,,,,,,,,,,,,,5274.0,9635.0,,,,,,,,,,,,,,,,,,
31,tt0056868,Billy Liar,/movie/Billy-Liar,98,"Comedy,Drama,Romance",16,12,1963,Rialto Pictures,,,,,,35609.0,,,,,,,,,,,,,,,,,,,,,,,,,,6606.0,,,,,,,,,,,,,,,,,,,,
32,tt0057877,Becket,/movie/Becket,148,"Biography,Drama,History",11,03,1964,Paramount Pictures,,,,,,,,,,,,,149327.0,,,,,,,,,,,,,,,,,,,,,,,,,,21704.0,,,,,,,,,,,,,
33,tt0058329,Marnie,/movie/Marnie,130,"Crime,Drama,Mystery",22,07,1964,,,,,,,,,,,,,,,,,,,,,,44261.0,,,,,,,,,,,,,,,,,,,,,,,,,,5250.0,,,,,
34,tt0058182,A Hard Day's Night,/movie/Hard-Days-Night-A,87,"Comedy,Musical",11,08,1964,Universal,,,,,,593645.0,383853.0,,,,,,,,,,,,,503557.0,,,,,,,,,,,,110138.0,67818.0,,,,,,,,,,,,,61634.0,,,,,,
35,tt0057345,Contempt,/movie/Mepris-Le,103,"Drama,Romance",18,12,1964,Rialto Pictures,,,528428.0,,,,,,,,,,,,,,,,,,,,,,,,,,115125.0,,,,,,,,,,,,,,,,,,,,,,,
36,tt0059113,Doctor Zhivago,/movie/Doctor-Zhivago,197,"Drama,Romance,War",22,12,1965,MGM,175917.0,,,,,,,,,,,,,,,,,,,,,,,,,,40440.0,,,,,,,,,,,,,,,,,,,,,,,,,
